90,	90,	50
91,	91,	50
92,	92,	50
93,	93,	50.00002
94,	94,	50.00124
95,	95,	50.05648
96,	96,	51.28556
97,	97,	64.61063
98,	98,	132.9186
99,	99,	284.9861
100,	100,	382.5362
101,	101,	284.9861
102,	102,	132.9186
103,	103,	64.61063
104,	104,	51.28556
105,	105,	50.05648
106,	106,	50.00124
107,	107,	50.00002
108,	108,	50
109,	109,	50
110,	110,	50
1,	111,	0.00531529
2,	112,	0.08959277
3,	113,	1.02879672
4,	114,	7.59960051
5,	115,	36.00345485
6,	116,	109.3681257
7,	117,	213.0196897
8,	118,	266.0293115
9,	119,	213.0196897
10,	120,	109.3681257
11,	121,	36.00345485
12,	122,	7.59960051
13,	123,	1.02879672
14,	124,	0.08959277
15,	125,	0.00531529
16,	126,	0.00052713
17,	127,	0.00035405
